id,caption,image
0,an old person kisses a young person,ex_0_img_0
0,a young person kisses an old person,ex_0_img_1
1,the taller person hugs the shorter person,ex_1_img_0
1,the shorter person hugs the taller person,ex_1_img_1
2,the masked wrestler hits the unmasked wrestler,ex_2_img_0
2,the unmasked wrestler hits the masked wrestler,ex_2_img_1
3,a person watches an animal,ex_3_img_0
3,an animal watches a person,ex_3_img_1
4,the person without earrings pays the person with earrings,ex_4_img_0
4,the person with earrings pays the person without earrings,ex_4_img_1
5,a bird eats a snake,ex_5_img_0
5,a snake eats a bird,ex_5_img_1
6,"a plant was harmed by another organism, and that organism broke the plant into pieces",ex_6_img_0
6,"another organism was harmed by a plant, and that plant broke the organism into pieces",ex_6_img_1
12,the image shows a computer on top of books,ex_12_img_0
12,the image shows books on top of a computer,ex_12_img_1
25,the person with the white collared shirt waters the plant while the other holds it,ex_25_img_0
25,the person with the white collared shirt holds the plant while the other waters it,ex_25_img_1
26,the taller person chops food and the shorter person eats food,ex_26_img_0
26,the taller person eats food and the shorter person chops food,ex_26_img_1
27,the person with the ponytail packs stuff and other buys it,ex_27_img_0
27,the person with the ponytail buys stuff and other packs it,ex_27_img_1
33,the square table has a round base,ex_33_img_0
33,the round table has a square base,ex_33_img_1
40,the more content person has the healthier food and the less content person has the less healthy food,ex_40_img_0
40,the less content person has the healthier food and the more content person has the less healthy food,ex_40_img_1
42,the larger person wears yellow and the smaller person does not,ex_42_img_0
42,the smaller person wears yellow and the larger person does not,ex_42_img_1
49,it wears a hat but the person doesn't,ex_49_img_0
49,the person wears a hat but it doesn't,ex_49_img_1
57,someone bakes the dough before the dough is eaten,ex_57_img_0
57,the dough is eaten before someone bakes the dough,ex_57_img_1
60,someone has loaded their plate with one of the toast slices and two of the eggs,ex_60_img_0
60,someone has loaded their plate with two of the toast slices and one of the eggs,ex_60_img_1
63,no people wear blue shirts and six people wear white shirts,ex_63_img_0
63,six people wear blue shirts and no people wear white shirts,ex_63_img_1
70,the person with the lighter shoes is holding an emoji and the person with the darker shoes isn't,ex_70_img_0
70,the person with the darker shoes is holding an emoji and the person with the lighter shoes isn't,ex_70_img_1
71,the person wearing neutral colors poses and the person wearing brighter colors takes a picture,ex_71_img_0
71,the person wearing brighter colors poses and the person wearing neutral colors takes a picture,ex_71_img_1
77,the people with shoes are touching each other,ex_77_img_0
77,the people are touching each other with shoes,ex_77_img_1
79,the person that is on the table is eating the food,ex_79_img_0
79,the person is eating the food that is on the table,ex_79_img_1
81,they hold a suitcase handle with their left hand and they hold a passport with their right hand,ex_81_img_0
81,they hold a passport with their left hand and they hold a suitcase handle with their right hand,ex_81_img_1
85,the person who is wearing a crown is kissing a frog,ex_85_img_0
85,the person is kissing a frog who is wearing a crown,ex_85_img_1
87,The uncaged bird has an opened cage door,ex_87_img_0
87,The caged bird has an unopened cage door,ex_87_img_1
97,they are using no bait but still got fish,ex_97_img_0
97,they are using bait but still got no fish,ex_97_img_1
98,someone on the ground is spraying water towards a vehicle,ex_98_img_0
98,someone is on a vehicle spraying water towards the ground,ex_98_img_1
99,the dog wears as a hat what someone would normally bite,ex_99_img_0
99,the dog bites what someone would normally wear as a hat,ex_99_img_1
106,someone is wearing a black hat and yellow shirt,ex_106_img_0
106,someone is wearing a yellow hat and black shirt,ex_106_img_1
112,the red team kicking the ball directly next to the blue team,ex_112_img_0
112,the blue team kicking the ball directly next to the red team,ex_112_img_1
115,person in white is reading the orange book,ex_115_img_0
115,person in orange is reading the white book,ex_115_img_1
120,the balloon in the middle has less air and the other balloons have more air,ex_120_img_0
120,the balloon in the middle has more air and the other balloons have less air,ex_120_img_1
121,the pool has no people and the area around it has a lot of people,ex_121_img_0
121,the pool has a lot of people and the area around it has no people,ex_121_img_1
124,they're enjoying hot water on a cold day,ex_124_img_0
124,they're enjoying cold water on a hot day,ex_124_img_1
126,the person on the left has curly hair and the person on the right has straight hair,ex_126_img_0
126,the person on the left has straight hair and the person on the right has curly hair,ex_126_img_1
154,a dog is using a wheelchair next to a person,ex_154_img_0
154,a person is using a wheelchair next to a dog,ex_154_img_1
156,a more lightly-colored dog is holding a toy next to a black dog,ex_156_img_0
156,a black dog is holding a toy next to a more lightly-colored dog,ex_156_img_1
159,a person is casting a shadow beside a ball,ex_159_img_0
159,a ball is casting a shadow beside a person,ex_159_img_1
161,the child is throwing the adult the ball,ex_161_img_0
161,the adult is throwing the child the ball,ex_161_img_1
176,the person reached the base before the ball,ex_176_img_0
176,the ball reached the base before the person,ex_176_img_1
178,an adult kisses a child,ex_178_img_0
178,a child kisses an adult,ex_178_img_1
181,the person on the left has their arms up and the person on the right has their arms down,ex_181_img_0
181,the person on the right has their arms up and the person on the left has their arms down,ex_181_img_1
182,the person on the left is holding the phone and the person on the right is staring at it,ex_182_img_0
182,the person on the right is holding the phone and the person on the left is staring at it,ex_182_img_1
186,the person on the left is blowing bubbles and the person on the right is watching,ex_186_img_0
186,the person on the right is blowing bubbles and the person on the left is watching,ex_186_img_1
189,they worked out then they drank water,ex_189_img_0
189,they drank water then they worked out,ex_189_img_1
198,The kid throws the pancake and the adult sees it,ex_198_img_0
198,The kids see the pancake and the adult throws it,ex_198_img_1
207,an older person blocking a younger person,ex_207_img_0
207,a younger person blocking an older person,ex_207_img_1
214,a person cries while another person wearing jewelry above their shoulders consoles,ex_214_img_0
214,a person consoles while another person wearing jewelry above their shoulders cries,ex_214_img_1
215,a person with long hair eating a meat-based product while a person with short hair snacks on some fries,ex_215_img_0
215,a person with short hair eating a meat-based product while a person with long hair snacks on some fries,ex_215_img_1
218,You can catch more flies with honey than you can with vinegar,ex_218_img_0
218,You can catch more flies with vinegar than you can with honey,ex_218_img_1
222,I need my strength back,ex_222_img_0
222,I need my back strength,ex_222_img_1
226,the driver wearing a shirt is in front of the other person wearing a sleeveless top,ex_226_img_0
226,the driver wearing a sleeveless top is in front of the other person wearing a shirt,ex_226_img_1
228,a cat viewing a human on a screen,ex_228_img_0
232,the person with hair to their shoulders has brown eyes and the other person's are blue,ex_232_img_0
232,the person with hair to their shoulders has blue eyes and the other person's are brown,ex_232_img_1
233,a human being on a device that intercepts the sun's rays,ex_233_img_0
233,a device that intercepts the sun's rays on a human being,ex_233_img_1
248,two people; the one on the right has curly hair and the one on the left doesn't,ex_248_img_0
248,two people; the one on the left has curly hair and the one on the right doesn't,ex_248_img_1
262,I had cleaned my car,ex_262_img_0
272,using the laptop while the guitar is close by,ex_272_img_0
272,using the guitar while the laptop is close by,ex_272_img_1
276,the younger person is making noise while the other is silent,ex_276_img_0
276,the younger person is silent while the other is making noise,ex_276_img_1
288,the gesture of the person sitting down is supporting the understanding of the person standing up,ex_288_img_0
288,the gesture of the person standing up is supporting the understanding of the person sitting down,ex_288_img_1
298,the outlet carrying water from the faucet to the shower head is near the hot tap not the cold,ex_298_img_0
298,the outlet carrying water from the faucet to the shower head is near the cold tap not the hot,ex_298_img_1
304,The white queen is taking the black king,ex_304_img_0
304,The black queen is taking the white king,ex_304_img_1
308,a taller person is covering the eyes of a shorter person,ex_308_img_0
308,a shorter person is covering the eyes of a taller person,ex_308_img_1
309,the plant is eating the bug,ex_309_img_0
309,the bug is eating the plant,ex_309_img_1
310,every bug has a leaf,ex_310_img_0
310,every leaf has a bug,ex_310_img_1
313,the moon prevents the sun's rays from falling on the earth,ex_313_img_0
313,the earth prevents the sun's rays from falling on the moon,ex_313_img_1
314,all paper airplanes fly on a straight path except for one which takes a curved one,ex_314_img_0
314,all paper airplanes fly on a curved path except for one which takes a straight one,ex_314_img_1
316,a kid jumped then threw a basketball,ex_316_img_0
316,a kid threw a basketball then jumped,ex_316_img_1
321,someone babys a pet,ex_321_img_0
321,someone pets a baby,ex_321_img_1
328,the person wearing a sweater stands in front of the person who isn't wearing a sweater,ex_328_img_0
328,the person who isn't wearing a sweater stands in front of the person wearing a sweater,ex_328_img_1
329,a person without glasses pushes a person with glasses sitting in a box,ex_329_img_0
329,a person with glasses pushes a person without glasses sitting in a box,ex_329_img_1
331,soon this animal not with a tail will have one,ex_331_img_0
331,soon this animal with a tail will not have one,ex_331_img_1
332,a mouse is touching a dog,ex_332_img_0
332,a dog is touching a mouse,ex_332_img_1
334,that person dusting off their hands,ex_334_img_0
335,a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes,ex_335_img_0
335,a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes,ex_335_img_1
336,a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch,ex_336_img_0
336,a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch,ex_336_img_1
339,a bird cooking a person,ex_339_img_0
339,a person cooking a bird,ex_339_img_1
341,a person wearing yellow with their feet in the air and a person wearing stripes,ex_341_img_0
341,a person wearing stripes with their feet in the air and a person wearing yellow,ex_341_img_1
344,A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture,ex_344_img_0
344,A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture,ex_344_img_1
345,a worker in a yellow hat uses a drill to the left of where the opening in the wall is,ex_345_img_0
345,the opening in the wall is to the left of where a worker in a yellow hat uses a drill,ex_345_img_1
347,A right hand pulls a glove onto a left hand,ex_347_img_0
347,A left hand pulls a glove onto a right hand,ex_347_img_1
350,one ear that some donkey is whispering a secret into,ex_350_img_0
350,donkey ear that some one is whispering a secret into,ex_350_img_1
351,walking someone cut lines into green plants,ex_351_img_0
351,someone walking lines cut into green plants,ex_351_img_1
352,a volcano above water makes steam,ex_352_img_0
352,water above a volcano makes steam,ex_352_img_1
354,an adult putting a helmet on a child,ex_354_img_0
354,a child putting a helmet on an adult,ex_354_img_1
356,a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair,ex_356_img_0
356,a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair,ex_356_img_1
358,"in the stadium, the person wearing gray outperformed the one wearing blue",ex_358_img_0
358,"in the stadium, the person wearing blue outperformed the one wearing gray",ex_358_img_1
368,a person is touching the head of a squirrel,ex_368_img_0
368,a squirrel is touching the head of a person,ex_368_img_1
371,an animal giving a person food,ex_371_img_0
371,a person giving an animal food,ex_371_img_1
374,two people wearing clothes of the same colors are on different side of the tennis net,ex_374_img_0
374,two people wearing clothes of different colors are on the same side of the tennis net,ex_374_img_1
376,a person near water using a lasso,ex_376_img_0
384,a person supports a small chair,ex_384_img_0
384,a chair supports a small person,ex_384_img_1
385,a person smiles at another person wearing a checked shirt who is hitting a ping pong ball,ex_385_img_0
385,a person wearing a checked shirt smiles at another person who is hitting a ping pong ball,ex_385_img_1
391,The worker wears something striped over a white undershirt with a collar,ex_391_img_0
391,The worker wears something white over a striped undershirt with a collar,ex_391_img_1
392,A person seen from above has a grid below them,ex_392_img_0
392,A person seen from below has a grid above them,ex_392_img_1
395,They have sunglasses over their hair,ex_395_img_0
395,They have hair over their sunglasses,ex_395_img_1
399,someone is overdoing it,ex_399_img_0
399,someone is doing it over,ex_399_img_1
